iter	MAE
0	8.112513411
1	7.780710848
2	7.499424976
3	7.297358303
4	7.121698153
5	6.971296257
6	6.730193985
7	6.646382334
8	6.584384742
9	6.498276776
10	6.417909266
11	6.324912847
12	6.266359232
13	6.203213446
14	6.142363913
15	6.096439792
16	6.021813086
17	5.973592892
18	5.92766845
19	5.879447444
20	5.86566764
21	5.845001557
22	5.783004197
23	5.737080005
24	5.703784132
25	5.692302663
26	5.657862569
27	5.613084165
28	5.568308688
29	5.551087735
30	5.536159768
31	5.510901601
32	5.49368106
33	5.485635324
34	5.483337375
35	5.432818221
36	5.432809728
37	5.421319794
38	5.392625155
39	5.370809058
40	5.35932762
41	5.352436207
42	5.33980555
43	5.327184803
44	5.305370969
45	5.296185196
46	5.284708359
47	5.244522034
48	5.244490972
49	5.223817485
50	5.219218091
51	5.201969131
52	5.187030967
53	5.166372471
54	5.15947114
55	5.158306843
56	5.150257336
57	5.138781878
58	5.13188027
59	5.131857832
60	5.129557181
61	5.12496537
62	5.113491632
63	5.09398969
64	5.090524352
65	5.090460537
66	5.080106427
67	5.06631906
68	5.061754147
69	5.057061686
70	5.051351715
71	5.051175998
72	5.045304197
73	5.004072026
74	4.992578736
75	4.982211119
76	4.975423887
77	4.961767664
78	4.958292101
79	4.946803655
80	4.943285099
81	4.938552875
82	4.922591479
83	4.914627934
84	4.91108287
85	4.901879893
86	4.900704884
87	4.897401177
88	4.889390889
89	4.862902102
90	4.862828174
91	4.853541435
92	4.848861318
93	4.834971299
94	4.821297745
95	4.820116655
96	4.819948156
97	4.808606813
98	4.794748159
99	4.794482102
100	4.763979184
101	4.763878016
102	4.757629537
103	4.757404267
104	4.73633696
105	4.732204392
106	4.715687103
107	4.712788501
108	4.687895384
109	4.682289954
110	4.664237808
111	4.661374628
112	4.631834222
113	4.630338295
114	4.620977307
115	4.611395649
116	4.610603655
117	4.607165541
118	4.602364462
119	4.600497739
120	4.599736041
121	4.596723818
122	4.589175425
123	4.580868075
