iter	MAE
0	8.083714659
1	7.434632065
2	7.286696266
3	7.1571091
4	7.019494391
5	6.897934808
6	6.824540291
7	6.713301763
8	6.603210073
9	6.502292628
10	6.283255979
11	6.151375272
12	6.053898253
13	6.028668699
14	5.986237312
15	5.931191424
16	5.913989615
17	5.880732585
18	5.849769365
19	5.81995285
20	5.774081225
21	5.766053565
22	5.731649983
23	5.708714264
24	5.688071973
25	5.668576257
26	5.622704926
27	5.579126555
28	5.563071467
29	5.530961894
30	5.510319425
31	5.498850933
32	5.482796065
33	5.475914993
34	5.456418663
35	5.41742791
36	5.385317637
37	5.368115849
38	5.361234697
39	5.348619376
40	5.33829833
41	5.333711103
42	5.298160802
43	5.29586703
44	5.285545981
45	5.248848831
46	5.23050144
47	5.220180132
48	5.199538004
49	5.193803631
50	5.185774608
51	5.178894264
52	5.16857191
53	5.158250248
54	5.139899689
55	5.130724257
56	5.09746823
57	5.092878502
58	5.076822569
59	5.059619082
60	5.041274453
61	5.029808574
62	5.016049272
63	4.994257218
64	4.989670874
65	4.989670015
66	4.986228372
67	4.97247066
68	4.969029873
69	4.96444181
70	4.963290231
71	4.948383568
72	4.948376604
73	4.948375936
74	4.94148614
75	4.896753445
76	4.895595225
77	4.888714702
78	4.870364331
79	4.865779531
80	4.860046832
81	4.840562109
82	4.83940245
83	4.837098343
84	4.824471063
85	4.824460697
86	4.82444814
87	4.823297509
88	4.804951275
89	4.785459776
90	4.776281152
91	4.77283386
92	4.770534042
93	4.764773452
94	4.76244415
95	4.759000433
96	4.753262306
97	4.749814908
98	4.747473768
99	4.747411846
100	4.731397085
101	4.731348239
102	4.729053254
103	4.729001074
104	4.722035437
105	4.70605276
106	4.701471162
107	4.693439355
108	4.679758079
109	4.679644371
110	4.679578345
111	4.674907436
112	4.674792586
113	4.67128483
114	4.660883393
115	4.660692214
116	4.66060098
117	4.655979861
118	4.64917232
119	4.647953409
120	4.623727783
121	4.621434728
122	4.616823599
123	4.61439721
124	4.610974598
125	4.608638413
126	4.607465085
127	4.59948669
128	4.577627674
129	4.561856686
130	4.5526606
131	4.551506186
132	4.551395063
133	4.541370805
134	4.541182646
135	4.53333366
136	4.527208501
137	4.522759853
138	4.522709962
139	4.515826302
140	4.511116056
141	4.506648024
142	4.506481155
143	4.501729163
144	4.497080935
145	4.489291115
146	4.476333752
147	4.463053152
148	4.4623161
149	4.455895897
150	4.455363791
151	4.452945306
152	4.452045567
153	4.449116489
154	4.447841344
155	4.446687909
156	4.433248873
157	4.432434242
158	4.421307546
159	4.420331052
160	4.416354632
161	4.412660004
162	4.411060728
163	4.402752352
164	4.387065289
165	4.366026935
166	4.359761843
167	4.355457183
168	4.338687044
169	4.333151245
170	4.327347705
171	4.325255137
172	4.324133656
173	4.319515849
