iter	Logloss
0	0.6166737154
1	0.5543424323
2	0.4996318661
3	0.455781972
4	0.4191436325
5	0.3894839026
6	0.3641773091
7	0.3432234483
8	0.3259803685
9	0.3118209278
10	0.2992874508
11	0.2890781282
12	0.2800373748
13	0.2715152162
14	0.2651820941
15	0.2595062361
16	0.254009688
17	0.2497040574
18	0.245711385
19	0.2425313274
20	0.2395543559
21	0.2366535274
22	0.2340640805
23	0.2318700541
24	0.2299316545
25	0.2282055399
26	0.2263721006
27	0.2245511212
28	0.2231889424
29	0.2214583603
30	0.2203221449
31	0.2188398867
32	0.2171877564
33	0.2161198416
34	0.2150637119
35	0.2136998339
36	0.2127670868
37	0.2119433302
38	0.2111877993
39	0.2101472522
40	0.2094276149
41	0.2086121846
42	0.207714292
43	0.2066315552
44	0.2055978497
45	0.2049047656
46	0.2040654078
47	0.2032966504
48	0.2027195527
49	0.2021404421
50	0.2015517311
51	0.2007114133
52	0.2002270472
53	0.1995728566
54	0.1989580414
55	0.1983353126
56	0.1978150054
57	0.1973767005
58	0.1968951575
59	0.1963033845
60	0.1958647599
61	0.1953502072
62	0.1949200435
63	0.194251012
64	0.1938230929
65	0.1933884982
66	0.1928174772
67	0.1923753279
68	0.1917643259
69	0.1910466663
70	0.1906022956
71	0.1902014756
72	0.1897625372
73	0.1890556795
74	0.1886919867
75	0.1883092279
76	0.1878846091
77	0.1873933683
78	0.1870599224
79	0.1867399242
80	0.1864353005
81	0.1860279831
82	0.1854460915
83	0.1851209407
84	0.1847503791
85	0.1844375573
86	0.1840807796
87	0.1837185888
88	0.1834119297
89	0.1829742226
90	0.1826803614
91	0.1823913654
92	0.1819801204
93	0.1815908269
94	0.1812957167
95	0.1809026286
96	0.1804648567
97	0.1801854505
98	0.1797828129
99	0.1794922492
100	0.1792369264
101	0.178799494
102	0.1782597396
103	0.177737057
104	0.1774728011
105	0.1772372135
106	0.1769762451
107	0.1767061019
108	0.1764343738
109	0.1761278195
110	0.1757824966
111	0.1755415694
112	0.1752153258
113	0.1748964722
114	0.1745893132
115	0.1743224606
116	0.1739997641
117	0.1737724075
118	0.1735113758
119	0.1732037813
120	0.172900537
121	0.172621163
122	0.172349472
123	0.1721347261
124	0.1717892463
125	0.1714921625
126	0.1712608195
127	0.1710123209
128	0.1707783339
129	0.1705730226
130	0.1703244425
131	0.170094427
132	0.1699095001
133	0.1697068733
134	0.1695151976
135	0.1693126147
136	0.1690158854
137	0.1687967801
138	0.1685154448
139	0.1683243265
140	0.1681226328
141	0.167921272
142	0.1677243985
143	0.1673977773
144	0.1671615336
145	0.1669057655
146	0.1667090588
147	0.1665290099
148	0.1663117624
149	0.1661459609
150	0.1659728122
151	0.1656224608
152	0.1652619837
153	0.1650920085
154	0.1649026881
155	0.1646010776
156	0.1644344461
157	0.1641550468
158	0.1639859423
159	0.163810759
160	0.1636044431
161	0.1633005862
162	0.1631209646
163	0.1629422303
164	0.1627679328
165	0.1626011336
166	0.1624399256
167	0.1622441768
168	0.1620818058
169	0.1618730029
170	0.1615695317
171	0.1614058125
172	0.1612181532
173	0.1610021957
174	0.1607696057
175	0.1606033306
176	0.1604426778
177	0.1602779196
178	0.1601243601
179	0.1597552535
180	0.1595370304
181	0.1593063343
182	0.1591201211
183	0.1588161507
184	0.1586850536
185	0.1584819131
186	0.1583039733
187	0.158159155
188	0.1580189195
189	0.1578687824
190	0.1576821697
191	0.157515655
192	0.1573819217
193	0.1572580532
194	0.1570808146
195	0.1569324974
196	0.1568094667
197	0.1565269262
198	0.1564023259
199	0.1562369762
200	0.1560541498
201	0.1558473349
202	0.155699573
203	0.1555520337
204	0.1554243826
205	0.1552687479
206	0.1550448204
207	0.154816386
208	0.1546806484
209	0.1545444869
210	0.1543842909
211	0.1542078282
212	0.1541038331
213	0.1539294989
214	0.1537815404
215	0.1535459006
216	0.153402274
217	0.1532572599
218	0.1531186367
219	0.1529624586
220	0.1527998249
221	0.152638235
222	0.1524817744
223	0.1523430989
224	0.1522147859
225	0.1520463819
226	0.1518224301
227	0.1516710656
228	0.1515575922
229	0.151331155
230	0.1511540387
231	0.1510397941
232	0.1508949346
233	0.1507317213
234	0.150629497
235	0.1505064244
236	0.1503832236
237	0.150243392
238	0.1500391827
239	0.1499275418
240	0.1498352466
241	0.1497180938
242	0.1495414341
243	0.1494553359
244	0.1493526862
245	0.1492005225
246	0.1490267413
247	0.1489207435
248	0.1488029544
249	0.1486260062
250	0.1483711936
251	0.1482195995
252	0.1480727468
253	0.1479641113
254	0.1478516259
255	0.1477438692
256	0.1476040538
257	0.1474513876
258	0.1473435277
259	0.1471838797
260	0.14710592
261	0.1469210411
262	0.1467408988
263	0.1466352967
264	0.1464961476
265	0.1463818477
266	0.14625819
267	0.1461839012
268	0.1460697827
269	0.1459247341
270	0.1457560008
271	0.1456671251
272	0.1455557121
273	0.1454415415
274	0.1452477831
275	0.1451483598
276	0.1450665087
277	0.1449637451
278	0.144895855
279	0.1448174414
280	0.1446928851
281	0.1445798208
282	0.1444751737
283	0.1443395426
284	0.1441667543
285	0.1440608286
286	0.1439436673
287	0.1438472318
288	0.1437457643
289	0.1436208491
290	0.1435293564
291	0.1434418695
292	0.1433476454
293	0.1432280361
294	0.1431629255
295	0.1430918784
296	0.1429892454
297	0.1428318569
298	0.14271063
299	0.1425820032
300	0.1425001548
301	0.1423854163
302	0.1423060068
303	0.1422176929
