iter	MAE
0	1545.67811
1	1499.320708
2	1454.362211
3	1410.759353
4	1368.457956
5	1327.418172
6	1287.604617
7	1249.004633
8	1211.552029
9	1175.216491
10	1139.98122
11	1105.803031
12	1072.647844
13	1040.487854
14	1009.292412
15	979.0263282
16	949.6820342
17	921.2105598
18	893.5848471
19	866.7970898
20	840.8140791
21	815.5982459
22	791.1493555
23	767.4314894
24	744.4262632
25	722.10898
26	700.4683787
27	679.4735244
28	659.1101966
29	639.3538915
30	620.1983884
31	601.6124179
32	583.5858008
33	566.0901721
34	549.1232176
35	532.6690645
36	516.7070763
37	501.2175066
38	486.1987831
39	471.6297687
40	457.4995627
41	443.7943918
42	430.4964388
43	417.5999325
44	405.078516
45	392.9422215
46	381.1703947
47	369.752651
48	358.6846885
49	347.9388158
50	337.509991
51	327.4038183
52	317.6074653
53	308.0872754
54	298.8549939
55	289.905053
56	281.2163363
57	272.7881412
58	264.6189334
59	256.6961887
60	249.0175516
61	241.5639836
62	234.3373607
63	227.3234566
64	220.5211461
65	213.9223716
66	207.5200886
67	201.307598
68	195.286785
69	189.4459829
70	183.7753883
71	178.2783407
72	172.9471664
73	167.7719181
74	162.7563419
75	157.8902967
76	153.1712505
77	148.5887619
78	144.1471189
79	139.8372194
80	135.6570308
81	131.5954319
82	127.6606585
83	123.8433223
84	120.1432291
85	116.5535443
86	113.0714098
87	109.692951
88	106.4147199
89	103.2346785
90	100.1515342
91	97.16049568
92	94.25875345
93	91.44463363
94	88.71540648
95	86.06828796
96	83.50679665
97	81.01505964
98	78.5976082
99	76.25398673
100	73.97627846
101	71.77050092
102	69.62344403
103	67.54890874
104	65.53645701
105	63.58001592
106	61.68969404
107	59.85163532
108	58.06508488
109	56.33690918
110	54.66068679
111	53.04113642
112	51.45913096
113	49.92859553
114	48.44726076
115	47.01027392
116	45.61618765
117	44.26052075
118	42.95593467
119	41.68865698
120	40.45310563
121	39.25824978
122	38.10099777
123	36.97631411
124	35.89323922
125	34.83652315
126	33.81509302
127	32.82604587
128	31.87201423
129	30.93945867
130	30.0352924
131	29.16153149
132	28.30769215
133	27.4856702
134	26.68687248
135	25.91452673
136	25.17065886
137	24.44471474
138	23.74434552
139	23.06408306
140	22.40879015
141	21.77446744
142	21.16137033
143	20.57330448
144	20.00599182
145	19.45874905
146	18.92895251
147	18.42017083
148	17.93221952
149	17.46189091
150	17.01390508
151	16.58517148
152	16.17767804
153	15.79069963
154	15.41948331
155	15.06138145
156	14.719445
157	14.38673426
158	14.07436144
159	13.77483089
160	13.48941184
161	13.21631463
162	12.95317591
163	12.70294581
164	12.465029
165	12.23549644
166	12.01839596
167	11.80815525
168	11.60762147
169	11.41421733
170	11.23273222
171	11.06056529
172	10.89552013
173	10.73942424
174	10.58932134
175	10.44628122
176	10.31020943
177	10.18213567
178	10.06017223
179	9.942651512
180	9.833733213
181	9.729736511
182	9.629541739
183	9.53584825
184	9.447354857
185	9.361394771
186	9.280254391
187	9.201813118
188	9.129788015
189	9.05792696
190	8.989789991
191	8.92668653
192	8.865595819
193	8.809149333
194	8.756280533
195	8.70492117
196	8.655886755
197	8.609590788
198	8.565848639
199	8.524421738
200	8.487093604
201	8.447927072
202	8.413860733
203	8.381417064
204	8.348902361
205	8.319317972
206	8.290758219
207	8.265403064
208	8.240100731
209	8.216558253
210	8.194770953
211	8.174216143
212	8.154233848
213	8.135135408
214	8.117364058
215	8.100761927
216	8.084638557
217	8.070306208
218	8.055610958
219	8.042153288
220	8.030041088
221	8.015841585
222	8.004570654
223	7.992688665
224	7.982101071
225	7.97284521
226	7.962656774
227	7.950564313
228	7.938994554
229	7.931575529
230	7.923085939
231	7.914072867
232	7.906393641
233	7.896368544
234	7.889181832
235	7.884267241
