iter	MAE
0	1545.63801
1	1499.280287
2	1454.312455
3	1410.713183
4	1368.411954
5	1327.375642
6	1287.567526
7	1248.958064
8	1211.509238
9	1175.174866
10	1139.936466
11	1105.759219
12	1072.605051
13	1040.447296
14	1009.246607
15	978.9755631
16	949.6267403
17	921.1547953
18	893.5291601
19	866.7440957
20	840.7600591
21	815.5447729
22	791.0998732
23	767.3814219
24	744.3801812
25	722.0615143
26	700.4205603
27	679.4243977
28	659.0611528
29	639.3038443
30	620.1478783
31	601.5606567
32	583.5319622
33	566.0324745
34	549.0663873
35	532.6122491
36	516.6495896
37	501.1573722
38	486.142142
39	471.573962
40	457.4441652
41	443.7420765
42	430.4402253
43	417.5444848
44	405.0214933
45	392.8825709
46	381.11067
47	369.6951635
48	358.6246494
49	347.8743234
50	337.4426924
51	327.3344824
52	317.5359382
53	308.0163356
54	298.7846912
55	289.8373101
56	281.1463738
57	272.7193475
58	264.5516387
59	256.6315298
60	248.9504684
61	241.4974818
62	234.2649241
63	227.2524093
64	220.4523734
65	213.8493752
66	207.4440229
67	201.2277294
68	195.207381
69	189.3691443
70	183.7018739
71	178.2035213
72	172.8663709
73	167.6898878
74	162.6740928
75	157.8121422
76	153.0963466
77	148.5127353
78	144.0746728
79	139.7653887
80	135.5859768
81	131.5218645
82	127.5845887
83	123.7678091
84	120.066336
85	116.4749698
86	112.9896644
87	109.6124031
88	106.3338018
89	103.1546932
90	100.0734164
91	97.08405995
92	94.18367077
93	91.37174922
94	88.64328054
95	85.99746607
96	83.43470048
97	80.94418104
98	78.52586325
99	76.18388364
100	73.91025715
101	71.7055872
102	69.56166121
103	67.48593117
104	65.4735766
105	63.51556759
106	61.62226363
107	59.7872705
108	58.00141188
109	56.2708811
110	54.59625648
111	52.97693575
112	51.39419954
113	49.86487454
114	48.38833813
115	46.95101772
116	45.56044064
117	44.20812605
118	42.901313
119	41.63428081
120	40.40019723
121	39.20705897
122	38.05186283
123	36.92618014
124	35.84368283
125	34.79368727
126	33.77582647
127	32.78661561
128	31.83209885
129	30.90075788
130	29.99825762
131	29.12221202
132	28.2689111
133	27.44649298
134	26.64988596
135	25.87829183
136	25.12970223
137	24.40344972
138	23.70040612
139	23.01627577
140	22.35245346
141	21.71749088
142	21.10223447
143	20.51174986
144	19.9443143
145	19.39721974
146	18.86556819
147	18.35839582
148	17.87191237
149	17.40183373
150	16.95767358
151	16.52477384
152	16.11783532
153	15.72896377
154	15.35809463
155	14.99218913
156	14.64896967
157	14.31771836
158	14.00142718
159	13.69960347
160	13.41216521
161	13.13875736
162	12.87835102
163	12.62942402
164	12.39181768
165	12.16332174
166	11.94732289
167	11.74092155
168	11.54102869
169	11.3500739
170	11.16931094
171	10.99568837
172	10.82871301
173	10.67142485
174	10.5191468
175	10.37451317
176	10.23853521
177	10.10741491
178	9.980550966
179	9.856097901
180	9.74313587
181	9.636051182
182	9.533869633
183	9.439120553
184	9.348711461
185	9.26196132
186	9.182259294
187	9.105478758
188	9.032366096
189	8.962293812
190	8.894912982
191	8.831328358
192	8.771627236
193	8.713488643
194	8.658630795
195	8.607725445
196	8.558795746
197	8.511790867
198	8.468090057
199	8.426562243
200	8.386424353
201	8.345223371
202	8.309075303
203	8.275931819
204	8.243791077
205	8.213669553
206	8.184834989
207	8.157666606
208	8.13095627
209	8.099589716
210	8.076347079
211	8.054467315
212	8.03450367
213	8.014911636
214	7.996426922
215	7.979344004
216	7.962745354
217	7.94877563
218	7.933898684
219	7.920385353
220	7.907262088
221	7.894880764
222	7.883792527
223	7.872550949
224	7.862117666
225	7.852482351
226	7.8416436
227	7.824460679
228	7.812756136
229	7.803520092
230	7.794693038
231	7.786845057
232	7.779377935
233	7.77308186
234	7.764751939
235	7.759285719
236	7.753902101
237	7.74828189
238	7.74226643
239	7.733423466
240	7.728202095
241	7.722303554
242	7.718383503
243	7.714244049
244	7.705120711
245	7.700759675
246	7.697515131
247	7.693640978
248	7.68995368
249	7.686181586
250	7.682200951
251	7.678306709
252	7.674554914
253	7.671860296
254	7.669005807
255	7.665971691
256	7.662265405
257	7.659436004
258	7.656090053
259	7.649523719
260	7.64718152
261	7.644802211
262	7.641230443
263	7.639129405
264	7.636615729
265	7.632848336
266	7.627789241
267	7.625402482
268	7.62420194
269	7.618368007
270	7.614255124
271	7.612185049
272	7.609292466
273	7.606934564
274	7.604281907
275	7.601691038
276	7.599436299
277	7.596848386
278	7.594622861
279	7.593037626
280	7.591522977
281	7.58775425
282	7.583576307
283	7.582473362
284	7.578605422
285	7.577452728
286	7.575823825
287	7.574325025
288	7.572932499
289	7.571460018
290	7.569726383
291	7.568277711
292	7.562975026
293	7.557362545
294	7.554757595
295	7.552080729
296	7.550810497
297	7.548544558
298	7.54376148
299	7.540056223
300	7.535853273
301	7.532401728
302	7.528004328
303	7.526831606
304	7.525532785
305	7.522340965
306	7.52071297
307	7.517009689
308	7.515549622
309	7.511752761
310	7.506978089
311	7.505661621
312	7.502719034
313	7.501586775
314	7.500859355
315	7.499712693
316	7.497814245
317	7.493844397
318	7.492919436
319	7.492415572
320	7.491466531
321	7.490976158
322	7.489297105
323	7.488543682
324	7.486352192
325	7.483831796
326	7.480513329
327	7.47913751
328	7.47754784
329	7.476386179
330	7.474472836
331	7.472979194
332	7.470649974
333	7.469393492
334	7.465815398
335	7.461696123
336	7.460642347
337	7.4576782
338	7.456910515
339	7.455628337
340	7.454763302
341	7.453151095
342	7.45240625
343	7.451844369
344	7.451235843
345	7.449257217
346	7.448376704
347	7.447405528
348	7.446660185
349	7.445395661
350	7.441249363
351	7.439990467
352	7.438759283
353	7.437739574
354	7.435737349
355	7.434200536
356	7.431087292
357	7.430664789
358	7.429453736
359	7.427967011
360	7.426524888
361	7.425074059
362	7.423476963
363	7.422878831
364	7.422100129
365	7.419134344
366	7.417958432
367	7.413987628
368	7.413415648
369	7.412342058
370	7.410252815
371	7.409757148
372	7.408724014
373	7.407177759
374	7.406493523
375	7.404637915
376	7.404307612
377	7.402076199
378	7.401393031
379	7.399818469
380	7.399425228
381	7.398579134
382	7.397858066
383	7.39688025
384	7.39546287
385	7.3948176
386	7.394148802
387	7.393320089
388	7.392690337
389	7.391879519
390	7.391287087
391	7.390831176
392	7.389561375
393	7.389338709
394	7.387669767
395	7.387094388
396	7.385843044
397	7.384765793
398	7.382634909
399	7.381863207
400	7.38018721
401	7.379555735
402	7.378602706
403	7.377348175
404	7.376651456
405	7.376194212
406	7.375178878
407	7.374279512
408	7.372282326
409	7.369572181
410	7.369072228
411	7.368060784
412	7.365113751
413	7.364434132
414	7.363381366
415	7.362994711
416	7.362437225
417	7.362003322
418	7.360746324
419	7.360088687
420	7.359123147
421	7.35858394
422	7.357315181
423	7.356825969
424	7.355453032
425	7.354751445
426	7.354315922
427	7.353595237
428	7.352481908
429	7.35158846
430	7.350509117
431	7.350054388
432	7.348029128
433	7.346499549
434	7.345055944
435	7.344386884
436	7.343893133
437	7.343461536
438	7.342434928
439	7.341864971
440	7.340796349
441	7.338945065
442	7.338201144
443	7.337409159
444	7.335302918
445	7.334930604
446	7.334228768
447	7.333909766
448	7.333657611
449	7.332491391
450	7.331795218
451	7.330866861
452	7.329427863
453	7.32869419
454	7.328159174
455	7.327295359
456	7.326826436
457	7.326356421
458	7.32558195
459	7.323631303
460	7.322788195
461	7.321778741
462	7.321250342
463	7.320829222
464	7.319898916
465	7.319274099
466	7.318738437
467	7.318165907
468	7.317762296
469	7.316809201
470	7.315456616
471	7.31493311
472	7.314408491
473	7.314090322
474	7.313680549
475	7.312842863
476	7.31059146
477	7.310040326
478	7.309394214
479	7.309183911
480	7.308797508
481	7.308430842
482	7.307774775
483	7.303631513
484	7.301764069
485	7.300449772
486	7.296953764
487	7.296325478
488	7.295579109
489	7.295263124
490	7.294495309
491	7.293882836
492	7.292203076
493	7.291422163
494	7.28952169
495	7.28670406
496	7.284092028
497	7.283291956
498	7.282853445
499	7.28147121
500	7.28078233
501	7.28005907
502	7.279662373
503	7.278700313
504	7.278069202
505	7.277713584
506	7.277329989
507	7.276684817
508	7.276455433
509	7.276218094
510	7.276037724
511	7.275565718
512	7.273856602
513	7.273064597
514	7.272333051
515	7.271695614
516	7.2713641
517	7.270931249
518	7.268108054
519	7.267872587
520	7.26661883
521	7.266406604
522	7.265863684
523	7.264954773
524	7.264401904
525	7.264035898
526	7.263399765
527	7.262684176
528	7.26201791
529	7.261278643
530	7.260684141
531	7.260506048
532	7.260270039
533	7.259611398
534	7.258078424
535	7.257281466
536	7.256811839
537	7.256157972
538	7.255985757
539	7.25574277
540	7.255475646
541	7.255043242
542	7.25461067
543	7.254154155
544	7.252934018
545	7.251691418
546	7.25089214
547	7.250261297
548	7.249421114
549	7.248479756
550	7.24820399
551	7.247922665
552	7.247329276
553	7.246157008
554	7.245840168
555	7.245292439
556	7.244880609
557	7.242062301
558	7.241028677
559	7.240402929
560	7.239246121
561	7.238167943
562	7.238085552
563	7.237416802
564	7.235206722
565	7.234904807
566	7.233825269
567	7.232296729
568	7.232135319
569	7.231171975
570	7.229882627
571	7.229696556
572	7.229329548
573	7.228697507
574	7.22814321
575	7.227717549
576	7.227411192
577	7.226774363
578	7.226420592
579	7.224389735
580	7.223785392
581	7.223135968
582	7.222636758
583	7.222043291
584	7.220028632
585	7.21965229
586	7.218737005
587	7.218145522
588	7.21787436
589	7.216792993
590	7.216546347
591	7.215343823
592	7.214208606
593	7.213613353
594	7.213199171
595	7.213111128
596	7.212074877
597	7.211432777
598	7.210351123
599	7.209752791
600	7.209526246
601	7.209354291
602	7.207320892
603	7.206768056
604	7.206531682
605	7.205396711
606	7.204245348
607	7.203721891
608	7.203296141
609	7.202275916
610	7.201724536
611	7.20022642
612	7.199678106
613	7.199518506
614	7.198887005
615	7.198332461
616	7.198153399
617	7.196063105
618	7.19531399
619	7.194797615
620	7.19385635
621	7.193430753
622	7.193039607
623	7.191464738
624	7.191189494
625	7.190795938
626	7.189485489
627	7.188915265
628	7.187132536
629	7.186623531
630	7.186257417
631	7.185281447
632	7.184014859
633	7.183254256
634	7.182708874
635	7.182044627
636	7.181724652
637	7.181501647
638	7.181193181
639	7.181041886
640	7.180545871
641	7.179985216
642	7.179841154
643	7.178917671
644	7.178624119
645	7.178038447
646	7.177730406
647	7.176738222
