iter	MAE
0	1545.801181
1	1499.44406
2	1454.477394
3	1410.861669
4	1368.559856
5	1327.522447
6	1287.714812
7	1249.106053
8	1211.650374
9	1175.308062
10	1140.069289
11	1105.889378
12	1072.73512
13	1040.57494
14	1009.37034
15	979.1037845
16	949.7523954
17	921.2798514
18	893.6555076
19	866.86641
20	840.8790237
21	815.6664516
22	791.2177503
23	767.5000405
24	744.4957045
25	722.1784569
26	700.5357103
27	679.5408234
28	659.1744704
29	639.4145616
30	620.2559831
31	601.6658937
32	583.6306528
33	566.1346023
34	549.1668696
35	532.7090165
36	516.7438464
37	501.2479535
38	486.2286114
39	471.659042
40	457.5290496
41	443.8227842
42	430.5238774
43	417.6253682
44	405.1072234
45	392.9655875
46	381.1882478
47	369.7703787
48	358.699711
49	347.9534169
50	337.5246054
51	327.4180229
52	317.6166679
53	308.097761
54	298.8690665
55	289.9214278
56	281.2335417
57	272.8102211
58	264.6417921
59	256.7218134
60	249.0373163
61	241.5817598
62	234.3458845
63	227.3322455
64	220.5282139
65	213.9263918
66	207.5225825
67	201.308033
68	195.2837997
69	189.4433973
70	183.7781492
71	178.2834297
72	172.9500968
73	167.776884
74	162.7580985
75	157.8922195
76	153.17299
77	148.5893413
78	144.147209
79	139.8377671
80	135.6575998
81	131.594659
82	127.6618125
83	123.8462771
84	120.1445689
85	116.5568587
86	113.0756986
87	109.6986185
88	106.4232293
89	103.246105
90	100.1651216
91	97.17641052
92	94.27519966
93	91.46109639
94	88.73278398
95	86.08749469
96	83.52194259
97	81.03093229
98	78.61337336
99	76.26821045
100	73.99459184
101	71.78791092
102	69.6441717
103	67.57005103
104	65.55957881
105	63.60388822
106	61.70947409
107	59.87078965
108	58.08631364
109	56.35845075
110	54.67957942
111	53.05649464
112	51.47305439
113	49.94501839
114	48.467732
115	47.03109396
116	45.63672385
117	44.27996253
118	42.97327374
119	41.70465956
120	40.47201837
121	39.28020371
122	38.1240747
123	36.99819725
124	35.91404003
125	34.85932962
126	33.84120789
127	32.85358347
128	31.89901791
129	30.96714584
130	30.06352089
131	29.18909452
132	28.33710916
133	27.51640776
134	26.72191996
135	25.95326923
136	25.20607285
137	24.47951052
138	23.77822411
139	23.09873625
140	22.43998782
141	21.8062576
142	21.19323539
143	20.60384811
144	20.03877477
145	19.49097654
146	18.96359816
147	18.4581551
148	17.97113957
149	17.49908037
150	17.05398272
151	16.62329675
152	16.21330556
153	15.82156069
154	15.44839737
155	15.08322818
156	14.74021574
157	14.40584067
158	14.08968376
159	13.78788936
160	13.49816262
161	13.22471905
162	12.96091546
163	12.71156948
164	12.4742783
165	12.24644901
166	12.02590614
167	11.81640256
168	11.61583934
169	11.42469736
170	11.24271503
171	11.06903712
172	10.90090112
173	10.74159076
174	10.59034805
175	10.44495043
176	10.30925945
177	10.17708265
178	10.05050283
179	9.923419735
180	9.809050585
181	9.702217262
182	9.601660404
183	9.507918605
184	9.41776101
185	9.33175452
186	9.249959408
187	9.173644948
188	9.099722559
189	9.030634002
190	8.965332807
191	8.902526561
192	8.84307088
193	8.783708249
194	8.729064324
195	8.67544399
196	8.626375263
197	8.579207787
198	8.534122058
199	8.492564698
200	8.455229753
201	8.414614431
202	8.380653264
203	8.349038514
204	8.318653018
205	8.289756824
206	8.25938413
207	8.233052084
208	8.207356722
209	8.173681075
210	8.151988272
211	8.131338207
212	8.11134244
213	8.092782197
214	8.074297198
215	8.057216014
216	8.04071026
217	8.026490465
218	8.011314397
219	7.997126977
220	7.985125597
221	7.971167948
222	7.958567455
223	7.946186322
224	7.93579164
225	7.925885379
226	7.915779455
227	7.896449824
228	7.885171641
229	7.877551294
230	7.868578792
231	7.861273097
232	7.854339019
233	7.848431867
234	7.839952021
235	7.833959257
236	7.828948806
237	7.823512356
238	7.816652261
239	7.810577707
240	7.805556423
241	7.792734439
242	7.788588379
243	7.784106782
244	7.779719204
245	7.772308943
246	7.765973757
247	7.761099434
248	7.756094034
249	7.752001671
250	7.747750537
251	7.743094345
252	7.740376872
253	7.735941556
254	7.732470975
255	7.729036663
256	7.725489015
257	7.722561506
258	7.719923308
259	7.716299276
260	7.712530362
261	7.710436164
262	7.706799637
263	7.704011886
264	7.701722106
265	7.698115453
266	7.695597108
267	7.692603928
268	7.683811959
269	7.681394048
270	7.677075815
271	7.674028187
272	7.669698535
273	7.667097133
274	7.664390837
275	7.662488575
276	7.660507563
277	7.658516397
278	7.656993934
279	7.654956378
280	7.653401817
281	7.649688296
282	7.647655148
283	7.645854231
284	7.640936071
285	7.639193668
286	7.637064684
287	7.634059735
288	7.632651891
289	7.629148103
290	7.628225394
291	7.625923518
292	7.624447253
293	7.623020388
294	7.621768876
295	7.62065122
296	7.619321094
297	7.618185009
298	7.615665433
299	7.614707988
300	7.61232182
301	7.609628074
302	7.608239879
303	7.605166371
304	7.601709349
305	7.598861808
306	7.595409384
307	7.588526119
308	7.588073493
309	7.587122201
310	7.584028586
311	7.581131266
312	7.578882103
313	7.577419686
314	7.576047262
315	7.57385771
316	7.572668662
317	7.57100912
318	7.569557618
319	7.568228401
320	7.567014919
321	7.565431352
322	7.564561214
323	7.562254926
324	7.561112535
325	7.559777784
326	7.559361918
327	7.558242612
328	7.556931364
329	7.555871649
330	7.555208232
331	7.554583721
332	7.553531345
333	7.551566716
334	7.550541212
335	7.548731342
336	7.54793508
337	7.544988133
338	7.543917382
339	7.542650378
340	7.54179199
341	7.540432597
342	7.538546991
343	7.536118658
344	7.534844738
345	7.533499316
346	7.532622015
347	7.531358848
348	7.530509049
349	7.529002234
350	7.528064509
351	7.525964825
352	7.524549653
353	7.522078665
354	7.519558562
355	7.518497767
356	7.516803479
357	7.515525624
358	7.514813961
359	7.512594216
360	7.511783714
361	7.51048857
362	7.509511318
363	7.508662258
364	7.507801489
365	7.506787081
366	7.505778222
367	7.504712245
368	7.503154387
369	7.502654323
370	7.500573845
371	7.500059664
372	7.498675313
373	7.4975053
374	7.497293852
375	7.496934611
376	7.495966961
377	7.494840697
378	7.493709748
379	7.49116849
380	7.489940773
381	7.48839643
382	7.487936356
383	7.486761058
384	7.486527808
385	7.482760671
386	7.480910902
387	7.479946315
388	7.479002518
389	7.477960188
390	7.475271877
391	7.474177659
392	7.472274857
393	7.471666513
394	7.471214039
395	7.469868161
396	7.467805925
397	7.467114496
398	7.466712352
399	7.466347213
400	7.465965443
401	7.465020671
402	7.464519664
403	7.463599908
404	7.46279092
405	7.462350554
406	7.460281124
407	7.45885383
408	7.458378842
409	7.455643169
410	7.454918612
411	7.454113272
412	7.451968712
413	7.451221516
414	7.450294734
415	7.4486437
416	7.44781926
417	7.446094407
418	7.445481719
419	7.444639869
420	7.444570345
421	7.443103021
422	7.441676556
423	7.440797459
424	7.440246779
425	7.439873851
426	7.43792713
427	7.437049895
428	7.435166892
429	7.434527919
430	7.433700021
431	7.43295344
432	7.432479189
433	7.431752248
434	7.429636814
435	7.429295766
436	7.428689698
437	7.427400206
438	7.425141713
439	7.424240762
440	7.423396091
441	7.422887292
442	7.422327385
443	7.421968176
444	7.421073992
445	7.420381856
446	7.419486196
447	7.419107524
448	7.418875013
449	7.418686937
450	7.418129663
451	7.416348624
452	7.415843964
453	7.415015977
454	7.413900871
455	7.412988365
456	7.412594406
457	7.411863687
458	7.41136249
459	7.40961661
460	7.408852962
461	7.408359902
462	7.406903638
463	7.406632429
464	7.405736964
465	7.403759695
466	7.402269466
467	7.397235982
468	7.395151641
469	7.394570029
470	7.394009725
471	7.393521544
472	7.392780558
473	7.391453417
474	7.390706183
475	7.3893513
476	7.384331396
477	7.383612416
478	7.381630423
479	7.381532571
480	7.380730638
481	7.379806386
482	7.378551446
483	7.377936009
484	7.375800482
485	7.375256014
486	7.37409668
487	7.372931187
488	7.371855098
489	7.370727483
490	7.370430826
491	7.369802168
492	7.368946562
493	7.367842864
494	7.36739287
495	7.366769075
496	7.365540963
497	7.364400328
498	7.363231111
499	7.362433553
500	7.362246831
501	7.361893821
502	7.361277777
503	7.360081496
504	7.35820819
505	7.357571309
506	7.356451992
507	7.355183061
508	7.354809117
509	7.353894448
510	7.353422915
511	7.352445785
512	7.352211167
513	7.351091645
514	7.350420621
515	7.349352975
516	7.348807113
517	7.347429837
518	7.345765008
519	7.345078473
520	7.344494091
521	7.34377055
522	7.343330266
523	7.342732334
524	7.342167831
525	7.340186012
526	7.338848351
527	7.337392366
528	7.336966774
529	7.336324666
530	7.334567668
531	7.333268096
532	7.332474192
533	7.332055001
534	7.331314955
535	7.330873974
536	7.329718749
537	7.329273997
538	7.327734427
539	7.326026424
540	7.324526395
541	7.324125977
542	7.323127361
543	7.321842583
544	7.321062157
545	7.320143302
546	7.318590558
547	7.318150566
548	7.316877372
549	7.316515385
550	7.315682441
551	7.315106711
552	7.314364934
553	7.312023324
554	7.311201713
555	7.311044153
556	7.30963294
557	7.308813154
558	7.308556174
559	7.308391743
560	7.307593753
561	7.30660707
562	7.305663944
563	7.305351167
564	7.304535467
565	7.303134879
566	7.302145303
567	7.301658161
568	7.301228521
569	7.300356588
