iter	Passed	Remaining
410	4487	4247
411	4501	4239
412	4514	4230
413	4527	4221
414	4541	4213
415	4552	4202
416	4564	4192
417	4574	4180
418	4585	4169
419	4595	4157
420	4604	4145
421	4614	4133
422	4624	4121
423	4634	4109
424	4645	4098
425	4655	4086
426	4664	4074
427	4674	4062
428	4684	4050
429	4693	4038
430	4703	4026
431	4713	4015
432	4723	4003
433	4732	3991
434	4742	3979
435	4753	3968
436	4763	3956
437	4772	3944
438	4782	3933
439	4792	3921
440	4802	3909
441	4812	3897
442	4822	3886
443	4832	3874
444	4849	3868
445	4862	3859
446	4872	3847
447	4882	3835
448	4891	3823
449	4901	3812
450	4911	3801
451	4922	3789
452	4932	3778
453	4941	3766
454	4951	3754
455	4961	3742
456	4971	3731
457	4981	3719
458	4990	3707
459	5000	3696
460	5010	3684
461	5020	3672
462	5029	3660
463	5039	3649
464	5050	3638
465	5060	3627
466	5070	3615
467	5079	3603
468	5090	3592
469	5100	3581
470	5110	3569
471	5119	3557
472	5130	3546
473	5140	3535
474	5150	3524
475	5159	3512
476	5169	3500
477	5179	3488
478	5189	3477
479	5199	3466
480	5209	3454
481	5219	3443
482	5229	3432
483	5239	3420
484	5248	3408
485	5258	3397
486	5268	3385
487	5277	3374
488	5287	3362
489	5297	3351
490	5307	3339
491	5316	3328
492	5326	3316
493	5335	3305
494	5346	3294
495	5355	3282
496	5365	3271
497	5375	3259
498	5385	3248
499	5395	3237
500	5405	3225
501	5415	3214
502	5424	3202
503	5435	3192
504	5445	3181
505	5456	3170
506	5466	3159
507	5477	3148
508	5492	3140
509	5503	3129
510	5515	3119
511	5527	3109
512	5537	3097
513	5546	3086
514	5556	3075
515	5566	3063
516	5575	3052
517	5586	3041
518	5595	3029
519	5605	3018
520	5615	3007
521	5625	2996
522	5636	2985
523	5645	2973
524	5656	2962
525	5666	2951
526	5677	2941
527	5687	2930
528	5699	2919
529	5709	2908
530	5719	2897
531	5729	2886
532	5738	2874
533	5748	2863
534	5758	2852
535	5768	2841
536	5778	2830
537	5788	2819
538	5798	2807
539	5809	2796
540	5818	2785
541	5829	2774
542	5839	2763
543	5848	2752
544	5858	2741
545	5869	2730
546	5878	2718
547	5888	2707
548	5898	2696
549	5907	2685
550	5917	2674
551	5927	2663
552	5937	2651
553	5946	2640
554	5956	2629
555	5965	2617
556	5975	2606
557	5985	2595
558	5994	2584
559	6004	2573
560	6014	2562
561	6023	2550
562	6033	2539
563	6043	2528
564	6054	2518
565	6063	2506
566	6072	2495
567	6082	2484
568	6092	2473
569	6102	2462
570	6111	2450
571	6120	2439
572	6130	2428
573	6139	2417
574	6149	2406
575	6159	2395
576	6169	2384
577	6178	2373
578	6188	2361
579	6198	2350
580	6208	2340
581	6218	2329
582	6228	2318
583	6237	2307
584	6247	2296
585	6257	2285
586	6267	2274
587	6276	2263
588	6286	2252
589	6296	2241
590	6305	2230
591	6316	2219
592	6326	2208
593	6336	2197
594	6346	2186
595	6356	2175
596	6366	2164
597	6376	2154
598	6386	2142
599	6396	2132
600	6408	2121
601	6418	2111
602	6428	2100
603	6438	2089
604	6450	2078
605	6459	2067
606	6470	2057
607	6480	2046
608	6491	2036
609	6502	2025
610	6513	2014
611	6523	2003
612	6533	1992
613	6542	1981
614	6552	1971
615	6563	1960
616	6573	1949
617	6583	1938
618	6592	1927
619	6602	1916
620	6612	1905
621	6621	1894
622	6631	1884
623	6641	1873
624	6651	1862
625	6660	1851
626	6670	1840
627	6680	1829
628	6689	1818
629	6699	1807
630	6709	1797
631	6719	1786
632	6729	1775
633	6738	1764
634	6749	1753
635	6758	1742
636	6768	1731
637	6778	1721
638	6788	1710
639	6797	1699
640	6809	1689
641	6820	1678
642	6830	1667
643	6840	1656
644	6849	1646
645	6859	1635
646	6869	1624
647	6879	1613
648	6888	1602
649	6898	1592
650	6909	1581
651	6918	1570
652	6929	1559
653	6938	1549
654	6948	1538
655	6957	1527
656	6968	1516
657	6978	1505
658	6988	1495
659	6998	1484
660	7008	1473
661	7019	1463
662	7033	1453
663	7045	1442
664	7057	1432
665	7069	1422
666	7081	1411
667	7093	1401
668	7106	1391
669	7118	1381
670	7130	1370
671	7142	1360
672	7155	1350
673	7166	1339
674	7176	1329
675	7190	1318
676	7200	1308
677	7211	1297
678	7224	1287
679	7236	1277
680	7247	1266
681	7259	1256
682	7272	1245
683	7283	1235
684	7293	1224
685	7306	1214
686	7317	1203
687	7327	1192
688	7337	1182
689	7347	1171
690	7356	1160
691	7365	1149
692	7375	1138
693	7384	1127
694	7394	1117
695	7405	1106
696	7419	1096
697	7431	1085
698	7442	1075
699	7453	1064
700	7467	1054
701	7477	1043
702	7490	1033
703	7503	1023
704	7515	1012
705	7528	1002
706	7540	991
707	7553	981
708	7565	971
709	7579	960
710	7593	950
711	7606	940
712	7621	929
713	7635	919
714	7648	909
715	7659	898
716	7670	887
717	7683	877
718	7694	866
719	7705	856
720	7717	845
721	7730	835
722	7741	824
723	7751	813
724	7760	802
725	7769	791
726	7779	781
727	7788	770
728	7798	759
729	7808	748
730	7817	737
731	7827	727
732	7836	716
733	7847	705
734	7856	694
735	7865	683
736	7875	673
737	7885	662
738	7896	651
739	7905	641
740	7915	630
741	7925	619
742	7935	608
743	7945	598
744	7954	587
745	7964	576
746	7974	565
747	7984	555
748	7994	544
749	8004	533
750	8016	523
751	8028	512
752	8039	501
753	8052	491
754	8064	480
755	8077	470
756	8088	459
757	8101	448
758	8113	438
759	8126	427
760	8138	417
761	8151	406
762	8163	395
763	8175	385
764	8187	374
765	8197	363
766	8209	353
767	8221	342
768	8232	331
769	8242	321
770	8252	310
771	8262	299
772	8273	288
773	8283	278
774	8293	267
775	8302	256
776	8313	246
777	8322	235
778	8332	224
779	8341	213
780	8350	203
781	8360	192
782	8370	181
783	8380	171
784	8391	160
785	8401	149
786	8411	138
787	8420	128
788	8431	117
789	8441	106
790	8452	96
791	8462	85
792	8472	74
793	8482	64
794	8492	53
795	8502	42
796	8512	32
797	8522	21
798	8532	10
799	8541	0
